id,source,title,url,author,posted_at,hn_score,hn_comments,fetched_at,llm_signal_strength,llm_investment_relevance,llm_market_impact,llm_tag,llm_flag,llm_translation,prompt_version,model,input_tokens,output_tokens,cache_write_tokens,cache_read_tokens,cost_usd,run_timestamp
hn:48450142,hackernews,Apple reveals new AI architecture built around Google Gemini models,https://www.macrumors.com/2026/06/08/apple-reveals-new-ai-architecture/,unclefuzzy,2026-06-08T19:14:47+00:00,343,320,2026-06-09T02:12:32+00:00,7,8,6,ai,read,Apple's shift to Gemini-based architecture signals a strategic pivot away from proprietary LLM development and toward third-party foundation models. Direct implications for AAPL's AI infrastructure decisions and potential margin/moat erosion; GOOGL gains enterprise/device placement; MSFT's OpenAI exclusivity weakens in the consumer-device tier.,news_v0.2,claude-haiku-4-5,2534,141,0,0,0.003239,2026-06-08T22:12:41
hn:48449084,hackernews,Siri AI,https://www.apple.com/apple-intelligence/,0xedb,2026-06-08T18:17:53+00:00,419,368,2026-06-09T02:12:32+00:00,5,6,4,ai,skim,Apple Intelligence announcement on Siri updates—product news with incremental capability gains. Relevant to AAPL thesis but lacks hard differentiation signal or market-moving catalyst at this maturity stage.,news_v0.2,claude-haiku-4-5,2510,107,0,0,0.003045,2026-06-08T22:12:44
hn:48445554,hackernews,Show HN: Performative-UI – A react component library of design tropes,https://vorpus.github.io/performativeUI/,lizhang,2026-06-08T14:05:16+00:00,793,155,2026-06-09T02:12:33+00:00,5,2,1,other,skip,Low signal.,news_v0.2,claude-haiku-4-5,2524,67,0,0,0.002859,2026-06-08T22:12:45
hn:48446639,hackernews,MiMo-v2.5-Pro-UltraSpeed: 1T model with 1000 tokens per second,https://mimo.xiaomi.com/blog/mimo-tilert-1000tps,gainsurier,2026-06-08T15:27:33+00:00,500,346,2026-06-09T02:12:33+00:00,7,6,5,ai,skim,Xiaomi achieves notable inference throughput on a 1T parameter model; demonstrates competitive edge in LLM deployment efficiency. Matters for NVDA/ASML exposure if Xiaomi scales—watch for capex signals and whether this shifts competitive positioning vs. MSFT/GOOGL cloud inference.,news_v0.2,claude-haiku-4-5,2541,132,0,0,0.003201,2026-06-08T22:12:48
hn:48444228,hackernews,"Anti-social: It's fads, not friends, which now dominate social media feeds",https://www.bbc.com/worklife/article/20260520-how-social-media-ceased-to-be-social,1vuio0pswjnm7,2026-06-08T11:58:02+00:00,553,411,2026-06-09T02:12:33+00:00,5,2,3,other,skip,Low signal.,news_v0.2,claude-haiku-4-5,2550,67,0,0,0.002885,2026-06-08T22:12:50
hn:48447062,hackernews,"EU-banned pesticides found in rice, tea and spices",https://www.foodwatch.org/en/eu-banned-pesticides-found-in-rice-tea-and-spices,john-titor,2026-06-08T15:59:04+00:00,244,90,2026-06-09T02:12:33+00:00,6,2,4,macro,skim,Food safety compliance story with potential supply-chain friction for importers of rice/tea/spices from Asia. Marginal impact on broad markets unless it triggers tariffs or major import restrictions.,news_v0.2,claude-haiku-4-5,2536,105,0,0,0.003061,2026-06-08T22:12:52
hn:48449665,hackernews,Apple Core AI Framework,https://developer.apple.com/documentation/coreai/,hmokiguess,2026-06-08T18:47:38+00:00,201,43,2026-06-09T02:12:33+00:00,7,6,5,ai,skim,Apple releases CoreAI framework for on-device ML inference—a real technical announcement signaling competitive positioning in edge AI. Relevant to AAPL's AI thesis but framework adoption trajectory and competitive moat vs. NVDA/MSFT cloud-AI are still uncertain.,news_v0.2,claude-haiku-4-5,2511,124,0,0,0.003131,2026-06-08T22:12:54
hn:48447806,hackernews,"Show HN: Gitdot – a better GitHub. Open-source, written in Rust",https://gitdot.io/,baepaul,2026-06-08T16:52:11+00:00,155,125,2026-06-09T02:12:34+00:00,4,2,1,other,skip,Low signal.,news_v0.2,claude-haiku-4-5,2522,67,0,0,0.002857,2026-06-08T22:12:55
hn:48450646,hackernews,Surveillance is not safety: A statement on the UK's latest threat to privacy [pdf],https://signal.org/blog/pdfs/2026-06-08-uk-surveillance-is-not-safety.pdf,g0xA52A2A,2026-06-08T19:42:28+00:00,429,154,2026-06-09T02:12:34+00:00,7,3,5,macro,skim,"Signal's privacy advocacy against UK surveillance legislation is substantive but has limited near-term portfolio impact. Watch for downstream regulatory risk to encrypted-comms companies (MSFT Teams, GOOGL Meet) if UK model spreads; longer-term, could shift EU/US stance on end-to-end encryption mandates.",news_v0.2,claude-haiku-4-5,2545,133,0,0,0.00321,2026-06-08T22:12:57
hn:48450065,hackernews,Why are cells small?,https://burrito.bio/essays/what-limits-a-cells-size,mailyk,2026-06-08T19:10:27+00:00,107,52,2026-06-09T02:12:34+00:00,5,2,1,bio,skip,Low signal.,news_v0.2,claude-haiku-4-5,2514,67,0,0,0.002849,2026-06-08T22:12:59
