id,domain,title,abstract,url,llm_maturation,llm_profit_mechanism,llm_retail_accessibility,llm_specificity,llm_final,llm_flag,llm_time_to_thesis,llm_translation,llm_public_vehicles,llm_rationale,prompt_version,model,input_tokens,output_tokens,cost_usd,run_timestamp
1,AI,RL-STPA: Adapting System-Theoretic Hazard Analysis for Safety-Critical Reinforcement Learning,"As reinforcement learning (RL) deployments expand into safety-critical domains, existing evaluation methods fail to systematically identify hazards arising from the black-box nature of neural network enabled policies and distributional shift between training and deployment. This paper introduces Reinforcement Learning System-Theoretic Process Analysis (RL-STPA), a framework that adapts conventional STPA's systematic hazard analysis to address RL's unique challenges through three key contributions: hierarchical subtask decomposition using both temporal phase analysis and domain expertise to capture emergent behaviors, coverage-guided perturbation testing that explores the sensitivity of state-action spaces, and iterative checkpoints that feed identified hazards back into training through reward shaping and curriculum design. We demonstrate RL-STPA in the safety-critical test case of autonomous drone navigation and landing, revealing potential loss scenarios that can be missed by standard RL evaluations. The proposed framework provides practitioners with a toolkit for systematic hazard analysis, quantitative metrics for safety coverage assessment, and actionable guidelines for establishing operational safety bounds. While RL-STPA cannot provide formal guarantees for arbitrary neural policies, it offers a practical methodology for systematically evaluating and improving RL safety and robustness in safety-critical applications where exhaustive verification methods remain intractable.",https://arxiv.org/abs/2604.15201v1,3,3,2,4,3.0,skip,5+yr,"This paper introduces a new framework called RL-STPA that applies an existing industrial safety analysis method (STPA) to reinforcement learning systems deployed in dangerous environments like autonomous drones. The idea is to systematically find failure modes that standard RL testing misses, particularly when the AI encounters situations different from its training. While safety certification for autonomous systems is a real commercial need, this is a proposed framework paper with no confirmed adoption, and the drone test case is illustrative rather than a commercial deployment.",[],"This is a first-proposal framework paper ('introduces RL-STPA') with no confirmed adoption, no named commercial partners, and retail_accessibility below 4 — it benefits a diffuse set of future RL deployers rather than any identifiable public company.",v0.1-2026-04-18,claude-sonnet-4-6,2745,258,0.012105,2026-04-18T14:09:54
2,AI,Optimal last-iterate convergence in matrix games with bandit feedback using the log-barrier,"We study the problem of learning minimax policies in zero-sum matrix games. Fiegel et al. (2025) recently showed that achieving last-iterate convergence in this setting is harder when the players are uncoupled, by proving a lower bound on the exploitability gap of Omega(t^{-1/4}). Some online mirror descent algorithms were proposed in the literature for this problem, but none have truly attained this rate yet. We show that the use of a log-barrier regularization, along with a dual-focused analysis, allows this O-tilde(t^{-1/4}) convergence with high-probability. We additionally extend our idea to the setting of extensive-form games, proving a bound with the same rate.",https://arxiv.org/abs/2604.15242v1,6,2,1,6,3,skip,5+yr,"This paper proves that a specific mathematical technique (log-barrier regularization) achieves the theoretically optimal learning rate in zero-sum game theory problems where players only observe outcomes rather than full information. It closes a gap in algorithmic game theory by matching a known lower bound. While this has distant relevance to AI training and multi-agent systems, there is no near-term commercial path visible from this result.",[],"Pure theoretical game-theory result with no identifiable commercial mechanism or public-vehicle path; retail_accessibility is 1, triggering the hard cap at 5.",v0.1-2026-04-18,claude-sonnet-4-6,2624,213,0.011067,2026-04-18T14:09:59
3,AI,Optimal algorithmic complexity of inference in quantum kernel methods,"Quantum kernel methods are among the leading candidates for achieving quantum advantage in supervised learning. A key bottleneck is the cost of inference: evaluating a trained model on new data requires estimating a weighted sum ∑_{i=1}^N α_i k(x,x_i) of N kernel values to additive precision ε, where α is the vector of trained coefficients. The standard approach estimates each term independently via sampling, yielding a query complexity of O(N||α||_2^2/ε^2). In this work, we identify two independent axes for improvement: (1) How individual kernel values are estimated (sampling versus quantum amplitude estimation), and (2) how the sum is approximated (term-by-term versus via a single observable), and systematically analyze all combinations thereof. The query-optimal combination, encoding the full inference sum as the expectation value of a single observable and applying quantum amplitude estimation, achieves a query complexity of O(||α||_1/ε), removing the dependence on N from the query count and yielding a quadratic improvement in both ||α||_1 and ε. We prove a matching lower bound of Ω(||α||_1/ε), establishing query-optimality of our approach up to logarithmic factors. Beyond query complexity, we also analyze how these improvements translate into gate costs and show that the query-optimal strategy is not always optimal in practice from the perspective of gate complexity. Our results provide both a query-optimal algorithm and a practically optimal choice of strategy depending on hardware capabilities, along with a complete landscape of intermediate methods to guide practitioners. All algorithms require only amplitude estimation as a subroutine and are thus natural candidates for early-fault-tolerant implementations.",https://arxiv.org/abs/2604.15214v1,6,2,2,7,3.5,skip,5+yr,"This paper works out the mathematically optimal way to run a quantum machine learning model on new data, proving both an upper bound (a new algorithm) and a lower bound (proof you can't do better) on how many quantum operations are needed. It's a theoretical complexity result — it tells you the best possible speed for a specific quantum ML task, but doesn't build a product or demonstrate real hardware advantage. The nearest public vehicles would be quantum computing companies (IBM, IonQ, Rigetti), but this is pure algorithmic theory that won't affect revenue in any 2-year window.",[],Retail_accessibility <4 triggers the hard cap; this is pure quantum complexity theory with no near-term commercial path — a textbook example of the same skip pattern as the calibration anchor Example D.,v0.1-2026-04-18,claude-sonnet-4-6,2830,263,0.012435,2026-04-18T14:10:06
4,AI,Agentic Microphysics: A Manifesto for Generative AI Safety,"This paper advances a methodological proposal for safety research in agentic AI. As systems acquire planning, memory, tool use, persistent identity, and sustained interaction, safety can no longer be analysed primarily at the level of the isolated model. Population-level risks arise from structured interaction among agents, through processes of communication, observation, and mutual influence that shape collective behaviour over time. As the object of analysis shifts, a methodological gap emerges. Approaches focused either on single agents or on aggregate outcomes do not identify the interaction-level mechanisms that generate collective risks or the design variables that control them. A framework is required that links local interaction structure to population-level dynamics in a causally explicit way, allowing both explanation and intervention. We introduce two linked concepts. Agentic microphysics defines the level of analysis: local interaction dynamics where one agent's output becomes another's input under specific protocol conditions. Generative safety defines the methodology: growing phenomena and elicit risks from micro-level conditions to identify sufficient mechanisms, detect thresholds, and design effective interventions.",https://arxiv.org/abs/2604.15236v1,2,1,1,2,2,skip,5+yr,"This paper proposes a new conceptual framework ('agentic microphysics') for studying AI safety risks that emerge from populations of AI agents interacting with each other, rather than from individual models. It's a methodology manifesto — it names a gap and coins terms, but doesn't deliver empirical results or engineering solutions. There's no commercial path in the 2-year window; this is foundational academic framing with no named beneficiary or revenue mechanism.",[],"Pure conceptual manifesto introducing new terminology with no empirical results, no quantitative claims, and no identifiable commercial path — scored low across all axes by design.",v0.1-2026-04-18,claude-sonnet-4-6,2685,226,0.011445,2026-04-18T14:10:12
5,Quantum,A NISQ-friendly Coined Quantum Walk Algorithm for Chaos-based Cryptographic Applications,"We present a novel lackadaisical alternating quantum walk (LAQW) algorithm whose circuit depth scales as O(n^2+nt) for a n× n lattice over t time steps. We show that this is a significant depth reduction compared to the existing controlled alternating quantum walk (CAQW) model, which has a circuit depth that scales as O(n^2t) (Li et al., 2017, arXiv:1707.07389). This makes the implementation of the LAQW viable for Noisy Intermediate-scale Quantum (NISQ) devices. We then showcase the applicability of the LAQW algorithm by proposing a chaos-based symmetric-key generation scheme. Our approach uses the LAQW as a quantum entropy source from which reproducible random bitstring sequences are generated using the underlying probability distribution and subsequent post-processing methods. We provide a comprehensive evaluation of the LAQW algorithm and demonstrate the reproducibility of 128-bit keys under simulated quantum noise provided by IBM's FakeTorino backend. A direct comparison with the CAQW model, which has been used in image encryption and hash function schemes (Li et al., 2017, arXiv:1707.07389; Abd EL-Latif et al., 2020, ScienceDirect; Abd El-Latif, Abd El-Atty, and Venegas-Andraca, 2020, ScienceDirect), highlights the potential and usefulness of the LAQW model in cryptographic applications.",https://arxiv.org/abs/2604.15030v1,5,3,2,6,3.5,skip,5+yr,"The authors propose a more hardware-friendly version of a quantum walk algorithm that requires shallower circuits, making it more practical on today's noisy quantum hardware. They demonstrate it can generate reproducible cryptographic keys (128-bit) and compare favorably to prior approaches used in image encryption. While technically interesting, this is a building-block research result — quantum hardware isn't mature enough to deploy this commercially, and the cryptographic application doesn't map to a specific product or public company within a 2-year window.",[],"Retail_accessibility caps at 2 because the beneficiaries are academic/private (IBM backend used for testing but no revenue-linked product), and the 5+ year commercialization path makes this non-actionable for a 2-year investment horizon.",v0.1-2026-04-18,claude-sonnet-4-6,2812,260,0.012336,2026-04-18T14:10:19
6,Quantum,Minimum energy and photon content in PT symmetric metamaterials,"In the context of waves in space time modulated materials, we ask two questions how much energy does it cost to break time reversal symmetry and transition to a PT symmetric state. and can a PT symmetric system have a ground state in the sense that no photons are present. Our model system is a periodic metamaterial set in virtual motion with velocity cg to become a space-time crystal. We find that the expectation of energy content is always increased on breaking symmetry. At the same time breaking T symmetry introduces photon-pairs even when we start from a T symmetric ground state empty of photons, except in certain pathological examples which we describe. For a range of velocities, PT symmetry is broken so that energy must be continuously invested to preserve motion, creating a trail of photon pairs. Here energy must be continuously invested to preserve motion. We make an analogy with acoustic radiation generated from breaking the sound barrier.",https://arxiv.org/abs/2604.15178v1,4,2,1,5,2.5,skip,5+yr,"This paper explores the energy cost of breaking time-reversal symmetry in exotic engineered materials (metamaterials) that are periodically structured in both space and time, finding that such symmetry-breaking always increases energy and spontaneously generates pairs of photons. The work is fundamentally theoretical physics, analogizing the phenomenon to sonic booms. There is no near-term commercial path — this is basic physics research on metamaterial phenomena that would take many years to translate into any device or product.",[],Pure theoretical physics with no identifiable commercial path in any near-term window; retail_accessibility of 1 hard-caps the final score.,v0.1-2026-04-18,claude-sonnet-4-6,2650,230,0.0114,2026-04-18T14:10:25
7,Quantum,Quantum instanton approach to metastable collective spins,"Collective spin systems -- spin ensembles coupled to a common reservoir and effectively described by a single macrospin -- play an important role in both atomic and solid-state physics. Their intrinsic nonlinearity gives rise to multiple long-lived metastable states that ultimately relax to a unique most probable state. This dominant state can change with a control parameter, leading to first-order phase transitions. We develop a real-time instanton approach based on quantum quasiprobability dynamics that captures the stationary state in the large-spin limit and the asymptotic scaling of relaxation rates. We further show that these features are not accurately described by the previously applied semiclassical Wigner approach due to its neglect of non-Gaussian fluctuations.",https://arxiv.org/abs/2604.15091v1,4,1,1,5,2.5,skip,5+yr,"The authors developed a new mathematical method (quantum instanton approach) to study how collections of quantum spins transition between stable states, showing it's more accurate than a previously used approximation. This is fundamental theoretical physics work improving our understanding of quantum phase transitions in spin systems. There is no near-term commercial path or public-equity angle here — this is deep foundational research.",[],Pure theoretical physics with no commercialization path visible in any timeframe; retail_accessibility of 1 hard-caps the final score.,v0.1-2026-04-18,claude-sonnet-4-6,2618,203,0.010899,2026-04-18T14:10:30
8,Energy,Inverse design of exceptional points in a single-resonance two-port network,"Exceptional points (EPs) in non-Hermitian photonic systems enable unconventional control of wave amplitude and phase. However, identifying the EPs in multidimensional parameter space of a system can be nontrivial and, in some cases, even infeasible. Here we propose an inverse-design method to efficiently locate the scattering EPs for a two-port resonant system supporting a single mode. The proposed method provides a direct guide for tuning of geometric parameters to realize scattering EPs, as confirmed by both full-wave simulation and equivalent circuit model. In principle, our method is compatible with multi-mode system, making it broadly applicable to a broad class of resonant systems.",https://arxiv.org/abs/2604.14744v1,3,3,2,4,3.0,skip,5+yr,"The researchers developed a mathematical method to find special operating points (called 'exceptional points') in certain wave-based systems, which allow unusual control over signal amplitude and phase. This is foundational photonics/electromagnetics research — potentially useful for sensors or antennas someday, but no product or commercial application is named. Too early-stage and too far from any public company's revenue line to act on in a 2-year window.",[],"This is the calibration anchor example C — a proposed (not confirmed in product) theoretical method in photonics with no named commercial path and retail_accessibility below 4, triggering the hard cap.",v0.1-2026-04-18,claude-sonnet-4-6,2610,231,0.011295,2026-04-18T14:10:37
9,Energy,Magneto-optical imaging of macroscopic altermagnetic domains in MnTe,"Altermagnets are a new class of magnets accompanying global time-reversal symmetry breaking (TRSB) without net magnetization. The TRSB results in formation of novel altermagnetic domains. Features of altermagnetic domains, in particular their responses to external stimuli, are essentially important but yet unexplored. Here, we report visualization of bulk altermagnetic domains in MnTe based on scanning magneto-optical Kerr-effect microscopy using telecom infrared wavelength. We found two distinct TRSB domains with large Kerr rotations that do not scale with its tiny bulk magnetization. We also revealed controllability and stability of domains against magnetic or thermal perturbations. Our first observation of altermagnetic domains using a laboratory-scale simple optical technique showing their movable nature provide firm bases for future fundamental and application studies of altermagnets.",https://arxiv.org/abs/2604.14947v1,4,2,2,5,3,skip,5+yr,"Researchers used an optical microscopy technique to directly image 'altermagnetic domains' — distinct magnetic regions in a material called MnTe — for the first time in a lab setting. Altermagnetism is a newly identified type of magnetism that could eventually enable faster, more energy-efficient memory or spintronic devices. However, this is firmly in the fundamental discovery phase; commercial applications in memory or sensors are likely a decade away, and there is no clear public equity vehicle.",[],First-observation paper on a newly classified material class with no near-term commercial path; retail_accessibility cap applies.,v0.1-2026-04-18,claude-sonnet-4-6,2658,222,0.011304,2026-04-18T14:10:43
10,Energy,Spin-Valley-Mismatched Altermagnet for Giant Tunneling Magnetoresistance,"Altermagnet-based heterojunctions have demonstrated magnetoresistive effects in experiments, however, a predictive theoretical model for non-ferromagnetic structures has remained elusive. In this work, we develop a tunneling-based spin-transport theory that explicitly incorporates the transverse-wavevector (bf{k}_||)-dependent spin polarization of an altermagnet's transport channels, enabling the prediction of giant tunneling magnetoresistance (TMR). Based on the theory, we predict that the altermagnet KV_2Se_2O can reach the extreme limit of magnetoresistance. By performing first-principles transport calculations, we verify that magnetic tunnel junctions using the metallic KV_2Se_2O as the electrodes and few-layer MgO as the spacer exhibit zero-bias magnetoresistance larger than 7.57×10^7\%, which is robust against the bias and thickness of the spacer. Our research provides a quantitative design principle for next-generation spin-electronic devices and establishes KV_2Se_2O/MgO/KV_2Se_2O as a leading candidate material system for room-temperature ultra-high-density non-volatile memory.",https://arxiv.org/abs/2604.14776v1,5,6,4,8,4.5,watchlist,5+yr,"Researchers developed a new theoretical framework to predict how altermagnet-based magnetic tunnel junctions behave, and used it to identify a specific material (KV2Se2O with MgO spacer) that shows astronomically large magnetoresistance — over 75 million percent — which is the key property needed for ultra-dense, non-volatile memory storage. If this holds up experimentally, it could become the basis for next-generation MRAM (magnetic RAM) chips that are faster and denser than today's versions. The closest public investment angle would be MRAM-focused companies like Everspin Technologies (MRAM) or memory/spintronics IP holders, but this is a theoretical prediction that needs years of experimental validation before it approaches commercialization.","[""MRAM"", ""TDK Corporation""]","Highly specific quantitative claim with clear memory-device application, but this is a first-principles theoretical prediction on a novel material system requiring substantial experimental validation before any commercial path exists — likely 5+ years from investable thesis.",v0.1-2026-04-18,claude-sonnet-4-6,2732,321,0.013011,2026-04-18T14:10:50
