id,domain,title,abstract,url,published,llm_maturation,llm_profit_mechanism,llm_retail_accessibility,llm_specificity,llm_final,llm_flag,llm_time_to_thesis,llm_translation,llm_public_vehicles,llm_rationale,prompt_version,model,input_tokens,output_tokens,cost_usd,run_timestamp
2605.00820,AI,HyCOP: Hybrid Composition Operators for Interpretable Learning of PDEs,"We introduce HyCOP, a modular framework that learns parametric PDE solution operators by composing simple modules (advection, diffusion, learned closures, boundary handling) in a query-conditioned way. Rather than learning a monolithic map, HyCOP learns a policy over short programs - which module to apply and for how long - conditioned on regime features and state statistics. Modules may be numerical sub-solvers or learned components, enabling hybrid surrogates evaluated at arbitrary query times without autoregressive rollout. Across diverse PDE benchmarks, HyCOP produces interpretable programs, delivers order-of-magnitude OOD improvements over monolithic neural operators, and supports modular transfer through dictionary updates (e.g., boundary swaps, residual enrichment). Our theory characterizes expressivity and gives an error decomposition that separates composition error from module error and doubles as a process-level diagnostic.",https://arxiv.org/abs/2605.00820v1,2026-05-01T17:57:48Z,2,3,2,5,3.0,skip,5+yr,"The researchers built a system called HyCOP that learns to solve complex physics equations (PDEs) by assembling modular building blocks — like advection and diffusion components — rather than training one giant neural network. It reportedly gives order-of-magnitude improvements in out-of-distribution generalization compared to monolithic neural operator approaches. This is genuinely interesting science for simulation-heavy industries like aerospace or climate modeling, but it's a novel academic framework with no named commercial partner, no near-term product path, and no public company where this mechanism is load-bearing.",[],"First-introduction novelty paper ('We introduce HyCOP') with no commercial partner, no identifiable public vehicle, and benefits diffuse across scientific computing broadly — cannot be acted on.",v0.2-2026-04-18,claude-sonnet-4-6,3111,258,0.013203,2026-05-04T20:51:56
2605.00817,AI,When LLMs Stop Following Steps: A Diagnostic Study of Procedural Execution in Language Models,"Large language models (LLMs) often achieve strong performance on reasoning benchmarks, but final-answer accuracy alone does not show whether they faithfully execute the procedure specified in a prompt. We study this question through a controlled diagnostic benchmark for procedural execution, where models are given a step-wise arithmetic algorithm and two numeric inputs, and must return the final computed value. The benchmark uses simple arithmetic operations but increases complexity through algorithm length and look-back dependencies over intermediate variables. Across 14 models and 55 datasets, average first-answer accuracy drops from 61% on 5-step procedures to 20% on 95-step procedures. Generation-level analysis shows that failures often involve missing answers, premature answers, self-correction after an initial error, under-executed traces, and hallucinated extra steps. These findings suggest that apparent reasoning ability can mask substantial weaknesses in faithful instruction execution.",https://arxiv.org/abs/2605.00817v1,2026-05-01T17:55:47Z,6,3,2,7,4,skip,5+yr,"Researchers built a diagnostic benchmark testing whether LLMs actually follow multi-step instructions reliably, finding accuracy collapses from 61% on 5-step procedures to just 20% on 95-step ones across 14 models. This reveals a fundamental gap between apparent reasoning ability and faithful instruction execution. While useful for understanding LLM limitations, this is academic benchmarking work with no clear path to a specific investable company's near-term revenue.",[],Diagnostic benchmarking study with no commercial path or public-vehicle angle; retail_accessibility=2 caps the final score regardless of specificity.,v0.2-2026-04-18,claude-sonnet-4-6,3086,224,0.012618,2026-05-04T20:52:02
2605.00814,AI,Persistent Visual Memory: Sustaining Perception for Deep Generation in LVLMs,"While autoregressive Large Vision-Language Models (LVLMs) demonstrate remarkable proficiency in multimodal tasks, they face a ""Visual Signal Dilution"" phenomenon, where the accumulation of textual history expands the attention partition function, causing visual attention to decay inversely with generated sequence length. To counteract this, we propose Persistent Visual Memory (PVM), a lightweight learnable module designed to ensure sustained, on-demand visual perception. Integrated as a parallel branch alongside the Feed-Forward Network (FFN) in LVLMs, PVM establishes a distance-agnostic retrieval pathway that directly provides visual embeddings for precise visual perception, thereby structurally mitigating the signal suppression inherent to deep generation. Extensive experiments on Qwen3-VL models demonstrate that PVM brings notable improvements with negligible parameter overhead, delivering consistent average accuracy gains across both 4B and 8B scales, particularly in complex reasoning tasks that demand persistent visual perception. Furthermore, in-depth analysis reveals that PVM can resist length-induced signal decay and accelerate internal prediction convergence.",https://arxiv.org/abs/2605.00814v1,2026-05-01T17:54:37Z,5,3,2,6,3.5,skip,2-5yr,"This paper identifies a problem in vision-language AI models: as these models generate longer text responses, they progressively 'forget' to pay attention to the image they were shown, leading to visual errors in complex tasks. The authors propose a small add-on module (PVM) that maintains a persistent connection to visual information regardless of how long the text output grows, showing accuracy improvements on Qwen3-VL models at 4B and 8B scales. While technically interesting, this is an architectural improvement that would be absorbed into the next generation of foundation models by large AI labs — there's no clear pure-play public company whose stock price would move on the back of this specific method.",[],Novel architectural module proposal with no identifiable pricing-power beneficiary; retail_accessibility is effectively 1-2 since any gains diffuse across all LVLM developers including private and mega-cap incumbents.,v0.2-2026-04-18,claude-sonnet-4-6,3141,292,0.013803,2026-05-04T20:52:10
2605.00803,AI,Can Coding Agents Reproduce Findings in Computational Materials Science?,"Large language models are increasingly deployed as autonomous coding agents and have achieved remarkably strong performance on software engineering benchmarks. However, it is unclear whether such success transfers to computational scientific workflows, where tasks require not only strong coding ability, but also the ability to navigate complex, domain-specific procedures and to interpret results in the context of scientific claims. To address this question, we present AutoMat, a benchmark for evaluating LLM-based agents' ability to reproduce claims from computational materials science. AutoMat poses three interrelated challenges: recovering underspecified computational procedures, navigating specialized toolchains, and determining whether the resulting evidence supports a claim. By working closely with subject matter experts, we curate a set of claims from real materials science papers to test whether coding agents can recover and execute the end-to-end workflow needed to support (or undermine) such claims. We then evaluate multiple representative coding agent settings across several foundation models. Our results show that current LLM-based agents obtain low overall success rates on AutoMat, with the best-performing setting achieving a success rate of only 54.1%. Error analysis further reveals that agents perform worst when workflows must be reconstructed from paper text alone and that they fail primarily due to incomplete procedures, methodological deviations, and execution fragility. Taken together, these findings position AutoMat as both a benchmark for computational scientific reproducibility and a tool for diagnosing the current limitations of agentic systems in AI-for-science settings.",https://arxiv.org/abs/2605.00803v1,2026-05-01T17:42:12Z,5,3,2,6,3.5,skip,5+yr,"The researchers built a benchmark called AutoMat to test whether AI coding agents can automatically reproduce computational experiments from materials science papers — essentially, can an LLM read a paper and re-run its simulations to verify the findings? The best AI system only succeeded 54% of the time, revealing significant gaps in handling specialized scientific software and underspecified procedures. This is academic infrastructure work — useful for research communities and AI labs building science-focused agents, but there's no clear near-term revenue mechanism or investable public company that captures the value.",[],"Benchmark paper with no commercial path in a 2-year window; benefits AI labs and academic researchers rather than any named public company, and retail_accessibility is too low to act on.",v0.2-2026-04-18,claude-sonnet-4-6,3220,249,0.013395,2026-05-04T20:52:17
2605.00800,AI,Generating Statistical Charts with Validation-Driven LLM Workflows,"Generating diverse, readable statistical charts from tabular data remains challenging for LLMs, as many failures become apparent after rendering and are not detectable from data or code alone. Existing chart datasets also rarely provide fully aligned artifacts, such as executable code, dataset context, and question-answer pairs. We present a structured LLM-based workflow that decomposes chart generation into dataset screening, plot proposal, code synthesis, rendering, validation-driven refinement, description generation, and question-answer generation. By incorporating rendered-output validation, the workflow addresses visualization-specific failure modes such as readability and semantic mismatch. It treats chart generation as an inspectable process rather than a one-shot prompt-to-code task, retaining each chart with its code, dataset context, description, and question-answer pairs. Applied to UCI datasets, the workflow produces 1,500 charts from 74 datasets, spanning 24 chart families and paired with 30,003 question-answer pairs. We evaluate 16 multimodal LLMs (MLLMs) on these chart-question pairs. The results show that chart-syntax questions are nearly saturated, while value extraction, comparison, and reasoning remain more challenging, illustrating the workflow's utility for diagnostic studies of chart-grounded multimodal reasoning.",https://arxiv.org/abs/2605.00800v1,2026-05-01T17:39:00Z,5,3,2,6,3.5,skip,5+yr,"The researchers built an automated pipeline that uses LLMs to generate statistical charts from tabular data, including validation steps to catch rendering failures, producing 1,500 charts with associated code and 30,000 question-answer pairs as a benchmark dataset. This is primarily a research infrastructure paper — it creates evaluation tools for testing how well multimodal AI models understand charts. There's no clear near-term path from this benchmark dataset to a specific company's revenue or competitive moat; it's most useful to AI labs and academic researchers.",[],Pure benchmark/dataset contribution with no identifiable commercial beneficiary and no public-vehicle path — retail_accessibility fires the cap regardless of technical quality.,v0.2-2026-04-18,claude-sonnet-4-6,3169,238,0.013077,2026-05-04T20:52:24
2605.00798,AI,RunAgent: Interpreting Natural-Language Plans with Constraint-Guided Execution,"Humans solve problems by executing targeted plans, yet large language models (LLMs) remain unreliable for structured workflow execution. We propose RunAgent, a multi-agent plan execution platform that interprets natural-language plans while enforcing stepwise execution through constraints and rubrics. RunAgent bridges the expressiveness of natural language with the determinism of programming via an agentic language with explicit control constructs (e.g., \texttt{IF}, \texttt{GOTO}, \texttt{FORALL}). Beyond verifying syntactic and semantic verification of the step output, which is performed based on the specific instruction of each step, RunAgent autonomously derives and validates constraints based on the description of the task and its instance at each step. RunAgent also dynamically selects among LLM-based reasoning, tool usage, and code generation and execution (e.g., in Python), and incorporates error correction mechanisms to ensure correctness. Finally, RunAgent filters the context history by retaining only relevant information during the execution of each step. Evaluations on Natural-plan and SciBench Datasets demonstrate that RunAgent outperforms baseline LLMs and state-of-the-art PlanGEN methods.",https://arxiv.org/abs/2605.00798v1,2026-05-01T17:29:45Z,5,3,2,5,3.5,skip,2-5yr,"This paper introduces a system called RunAgent that adds structured execution guardrails to large language models — essentially making LLMs follow step-by-step plans reliably using programming-style control logic and automatic constraint checking. The idea is to close the gap between LLMs' language fluency and the determinism needed for real workflows. While this could improve enterprise AI automation tools, it's a framework contribution that benefits the entire AI ecosystem rather than creating a defensible moat for any one investable company.",[],Novel framework proposal with no clear single-company beneficiary and retail_accessibility effectively 2 — benefits diffuse across all AI platform players; cap rule fires.,v0.2-2026-04-18,claude-sonnet-4-6,3175,240,0.013125,2026-05-04T20:52:31
2605.00796,AI,When RAG Chatbots Expose Their Backend: An Anonymized Case Study of Privacy and Security Risks in Patient-Facing Medical AI,"Background: Patient-facing medical chatbots based on retrieval-augmented generation (RAG) are increasingly promoted to deliver accessible, grounded health information. AI-assisted development lowers the barrier to building them, but they still demand rigorous security, privacy, and governance controls. Objective: To report an anonymized, non-destructive security assessment of a publicly accessible patient-facing medical RAG chatbot and identify governance lessons for safe deployment of generative AI in health. Methods: We used a two-stage strategy. First, Claude Opus 4.6 supported exploratory prompt-based testing and structured vulnerability hypotheses. Second, candidate findings were manually verified using Chrome Developer Tools, inspecting browser-visible network traffic, payloads, API schemas, configuration objects, and stored interaction data. Results: The LLM-assisted phase identified a critical vulnerability: sensitive system and RAG configuration appeared exposed through client-server communication rather than restricted server-side. Manual verification confirmed that ordinary browser inspection allowed collection of the system prompt, model and embedding configuration, retrieval parameters, backend endpoints, API schema, document and chunk metadata, knowledge-base content, and the 1,000 most recent patient-chatbot conversations. The deployment also contradicted its privacy assurances: full conversation records, including health-related queries, were retrievable without authentication. Conclusions: Serious privacy and security failures in patient-facing RAG chatbots can be identified with standard browser tools, without specialist skills or authentication; independent review should be a prerequisite for deployment. Commercial LLMs accelerated this assessment, including under a false developer persona; assistance available to auditors is equally available to adversaries.",https://arxiv.org/abs/2605.00796v1,2026-05-01T17:29:09Z,5,4,3,7,3.5,skip,2-5yr,"Researchers performed a real-world security audit of a deployed patient-facing medical chatbot and found that basic browser inspection tools (no hacking required) exposed the system prompt, all backend configuration, and the 1,000 most recent patient conversations — including sensitive health queries — with no authentication needed. This matters because it highlights how quickly AI-assisted development can produce dangerously insecure healthcare AI deployments, and suggests growing demand for specialized AI security auditing services in regulated industries. However, the paper names no public companies and doesn't point cleanly to a pure-play investable vehicle — the beneficiaries would be healthcare IT security firms or compliance consultancies, most of which are private or embedded in diversified cybersecurity firms.",[],"Retail accessibility is too low (retail_access=3) to be actionable — the finding is a single anonymized case study with no named public-company beneficiary, and cybersecurity firms that might benefit are either private or conglomerates where this signal is invisible.",v0.2-2026-04-18,claude-sonnet-4-6,3254,310,0.014412,2026-05-04T20:52:41
2605.00793,AI,Unsupervised Denoising of Real Clinical Low Dose Liver CT with Perceptual Attention Networks,"With the development of deep learning, medical image processing has been widely used to assist clinical research. This paper focuses on the denoising problem of low-dose computed tomography using deep learning. Although low-dose computed tomography reduces radiation exposure to patients, it also introduces more noise, which may interfere with visual interpretation by physicians and affect diagnostic results. To address this problem, inspired by Cycle-GAN for unsupervised learning, this paper proposes an end-to-end unsupervised low-dose computed tomography denoising framework. The proposed framework combines a U-Net structure for multi-scale feature extraction, an attention mechanism for feature fusion, and a residual network for feature transformation. It also introduces perceptual loss to improve the network for the characteristics of medical images. In addition, we construct a real low-dose computed tomography dataset and design a large number of comparative experiments to validate the proposed method, using both image-based evaluation metrics and medical evaluation criteria. Compared with classical methods, the main advantage of this paper is that it addresses the limitation that real clinical data cannot be directly used for supervised learning, while still achieving excellent performance. The experimental results are also professionally evaluated by imaging physicians and meet clinical needs.",https://arxiv.org/abs/2605.00793v1,2026-05-01T17:19:15Z,6,5,3,5,4,skip,2-5yr,"This paper builds an AI system that cleans up noisy low-dose CT scan images without needing paired clean/noisy training examples — a practical advantage since hospitals can't always produce matched datasets. It combines several established deep learning components (Cycle-GAN-inspired architecture, U-Net, attention mechanisms) and validates the result with both technical metrics and radiologist review. While the clinical problem is real and the unsupervised approach is commercially relevant, the work benefits large medical imaging platform companies or hospital system software vendors rather than any single investable pure-play.",[],"Retail accessibility is too low — this advances medical imaging AI but benefits are diffuse across large healthcare IT players or private startups, with no clear pure-play public vehicle where this mechanism is load-bearing.",v0.2-2026-04-18,claude-sonnet-4-6,3174,257,0.013377,2026-05-04T20:52:48
2605.00789,AI,Make Your LVLM KV Cache More Lightweight,"Key-Value (KV) cache has become a de facto component of modern Large Vision-Language Models (LVLMs) for inference. While it enhances decoding efficiency in Large Language Models (LLMs), its direct adoption in LVLMs introduces substantial GPU memory overhead due to the large number of vision tokens processed during the prefill stage. To tackle this problem, we propose LightKV, a novel approach that reduces KV cache size by exploiting the redundancy among vision-token embeddings. Guided by text prompts, LightKV employs cross-modality message passing to aggregate informative messages across vision tokens and progressively compress them during prefill. This prompt-aware guidance distinguishes our method from prior vision-only compression strategies. We evaluate LightKV on eight open-source LVLMs across eight public benchmark datasets, e.g., MME and SeedBench. Experimental results demonstrate that with only 55% of the original vision tokens, LightKV (a) halves the vision-token KV cache size, (b) reduces computation by up to 40%, and (c) preserves general-purpose performance while significantly outperforming existing baselines.",https://arxiv.org/abs/2605.00789v1,2026-05-01T17:11:39Z,6,4,3,7,4,skip,2-5yr,"This paper introduces a method called LightKV that compresses the memory footprint of vision-language AI models during inference by identifying and removing redundant visual information, guided by the text query being asked. The result is roughly half the GPU memory needed for vision tokens with up to 40% less computation, tested across eight different models and eight benchmarks. While useful for anyone deploying multimodal AI, this is an efficiency technique that diffuses broadly across the industry — no single public company captures the pricing power from an open-sourced compression method like this.",[],"Novel compression method for LVLMs with solid quantitative results, but retail_accessibility is low because it's a general technique with no named commercial beneficiary and benefits spread across cloud/infra giants where the signal is invisible.",v0.2-2026-04-18,claude-sonnet-4-6,3147,259,0.013326,2026-05-04T20:52:55
2605.00787,AI,SAVGO: Learning State-Action Value Geometry with Cosine Similarity for Continuous Control,"While representation and similarity learning have improved the sample efficiency of Reinforcement Learning (RL), they are rarely used to shape policy updates directly in the action space. To bridge this gap, a geometry-aware RL algorithm that explicitly incorporates value-based similarity into the policy update, State-Action Value Geometry Optimization (SAVGO), is proposed. In detail, SAVGO learns a joint state-action embedding space in which pairs with similar action-value estimates exhibit high cosine similarity, while dissimilar pairs are mapped to distinct directions. This learned geometry enables the generation of a similarity kernel over candidate actions sampled at each update, allowing policy improvement to be guided directly toward higher-value regions beyond local gradient-based updates. As a result, representation learning, value estimation, and policy optimization are unified within a single geometry-consistent objective, while preserving the scalability of off-policy actor-critic training. The proposed method is evaluated on standard MuJoCo continuous-control benchmarks, demonstrating improvements over strong baselines on challenging high-dimensional tasks. Ablation studies are done to analyze the contributions of value-geometry learning and similarity-based policy updates.",https://arxiv.org/abs/2605.00787v1,2026-05-01T17:09:58Z,3,2,2,5,3,skip,5+yr,"This paper proposes a new reinforcement learning algorithm that uses geometric relationships between state-action pairs (measured via cosine similarity) to guide policy updates more effectively than standard gradient-based methods, tested on MuJoCo robotics simulation benchmarks. It's a foundational RL research contribution with no direct near-term commercial application — improvements on simulation benchmarks rarely translate quickly to deployable products or revenue. There's no clear public company whose stock price would move based on this kind of algorithmic advance.",[],First-discovery novelty paper on a new RL algorithm evaluated only on simulation benchmarks; no commercial path visible within 2 years and no public-vehicle angle.,v0.2-2026-04-18,claude-sonnet-4-6,3133,240,0.012999,2026-05-04T20:53:01
