id,domain,title,llm_maturation,llm_profit_mechanism,llm_retail_accessibility,llm_specificity,llm_final,llm_flag,llm_time_to_thesis,llm_translation,llm_public_vehicles,llm_rationale,prompt_version,model,run_timestamp
1,AI,RL-STPA: Adapting System-Theoretic Hazard Analysis for Safety-Critical Reinforcement Learning,4,3,3,4,3.5,skip,2-5yr,"A framework for systematically finding safety hazards in reinforcement learning systems before deployment, demonstrated on autonomous drone navigation. Matters because real-world RL deployment in safety-critical domains needs exactly this kind of systematic hazard analysis — but the benefit diffuses across industry rather than concentrating in one vendor. No clean public-vehicle angle; defense/drone primes like AVAV are too diversified.",[],Framework paper with single demo; safety tooling benefits spread industry-wide without concentrating in any pure play.,v0.1-2026-04-18,claude-opus-4-7-as-proxy,2026-04-18T17:45:00
2,AI,Optimal last-iterate convergence in matrix games with bandit feedback using the log-barrier,7,1,1,8,2.5,skip,5+yr,"A math paper proving the optimal convergence rate for learning minimax strategies in two-player zero-sum matrix games when players only observe limited bandit feedback — matching a lower bound proved earlier in 2025. Valuable as theoretical-CS foundation for multi-agent RL, but no commercial mechanism in any near-term window.",[],"Tight theoretical result on an established problem — high maturation/specificity, zero commercial path.",v0.1-2026-04-18,claude-opus-4-7-as-proxy,2026-04-18T17:45:00
3,AI,Optimal algorithmic complexity of inference in quantum kernel methods,7,1,1,9,2.5,skip,5+yr,"A query-optimal algorithm for running trained quantum kernel classifiers on new inputs, with a matching theoretical lower bound proving no algorithm can do better. Relevant in the 5-10yr window when early fault-tolerant quantum hardware arrives. No near-term public-vehicle angle — would benefit all quantum hardware vendors equally, which is retail-invisible.",[],Query-optimal algorithm + matching lower bound on a clean theoretical question — strong science gated on hardware that doesn't exist yet.,v0.1-2026-04-18,claude-opus-4-7-as-proxy,2026-04-18T17:45:00
4,AI,Agentic Microphysics: A Manifesto for Generative AI Safety,2,2,2,3,2,skip,5+yr,"A methodology proposal arguing that AI agent safety should be studied at the level of agent-to-agent interaction dynamics rather than single-model behavior. Interesting framing for the emerging multi-agent safety field, but no concrete results and no commercial mechanism within 2 years.",[],Explicit 'manifesto' = novelty proposal on an open methodology gap; no teeth yet.,v0.1-2026-04-18,claude-opus-4-7-as-proxy,2026-04-18T17:45:00
5,Quantum,A NISQ-friendly Coined Quantum Walk Algorithm for Chaos-based Cryptographic Applications,4,3,3,7,3.5,skip,5+yr,"A new quantum walk algorithm with shallower circuit depth, used to generate reproducible 128-bit encryption keys on IBM's simulated NISQ hardware. Step forward for quantum-noise-tolerant cryptography, but NISQ-era crypto deployment is 5+ years out and IBM's quantum business is invisible in the parent stock's financials.",[],NISQ-validated step but quantum crypto commercial timeline is 5+yr and IBM signal is retail-invisible.,v0.1-2026-04-18,claude-opus-4-7-as-proxy,2026-04-18T17:45:00
6,Quantum,Minimum energy and photon content in PT symmetric metamaterials,2,1,1,3,1.5,skip,5+yr,"A theoretical paper on how much energy it takes to break time-reversal symmetry in engineered metamaterials, and why this spontaneously produces photon pairs. Foundational physics curiosity with no commercial mechanism.",[],Pure foundational physics exploration; commercial relevance is decades away at best.,v0.1-2026-04-18,claude-opus-4-7-as-proxy,2026-04-18T17:45:00
7,Quantum,Quantum instanton approach to metastable collective spins,6,2,1,6,2.5,skip,5+yr,"A theoretical technique using 'quantum instantons' to predict how metastable states in collective spin ensembles decay, fixing known errors in the older semiclassical treatment. Matters for quantum memory and quantum sensing theory, but structurally invisible to public markets.",[],"Methodological refinement over an established prior method; scientifically solid, commercially irrelevant.",v0.1-2026-04-18,claude-opus-4-7-as-proxy,2026-04-18T17:45:00
8,Energy,Inverse design of exceptional points in a single-resonance two-port network,3,5,5,3,4,watchlist,2-5yr,"A computational method for designing photonic devices to hit 'exceptional points' — special operating regimes that boost sensing and filtering — by inverse search rather than trial-and-error, validated only in simulation. Matters for next-gen photonic sensors and filters IF the design survives experimental test. Rough sector: photonic chipmakers (COHR, LSCC); no specific vehicle yet.",[],Simulation-only inverse-design method — mechanism is speculative until experimentally realized; strong potential in photonics gated on validation.,v0.1-2026-04-18,claude-opus-4-7-as-proxy,2026-04-18T17:45:00
9,Energy,Magneto-optical imaging of macroscopic altermagnetic domains in MnTe,4,3,4,4,3.5,watchlist,5+yr,First direct visualization of the 'domain' structure in altermagnets — a newly discovered class of magnets with time-reversal symmetry breaking but no net magnetization — using a standard optical technique. Matters because altermagnets could underpin next-generation memory if the material family matures; this is the field coming of age. No specific vehicle yet.,[],First-in-class observation on an early field; foundational enough to watchlist but pre-commercial.,v0.1-2026-04-18,claude-opus-4-7-as-proxy,2026-04-18T17:45:00
10,Energy,Spin-Valley-Mismatched Altermagnet for Giant Tunneling Magnetoresistance,5,6,6,7,5.5,watchlist,5+yr,"First-principles prediction that a specific heterostructure (KV2Se2O / MgO / KV2Se2O) should exhibit giant room-temperature tunneling magnetoresistance — roughly 10× beyond current state-of-the-art — suitable for high-density non-volatile memory. Matters for memory companies (MU, WDC, STX) if the material can actually be grown and matched experimentally. Still a theoretical design; lab synthesis is the next gate.","[""MU"", ""WDC"", ""STX""]","Specific material-level prediction with concrete metric in a large end market — promising watchlist, gated on experimental synthesis.",v0.1-2026-04-18,claude-opus-4-7-as-proxy,2026-04-18T17:45:00
11,Robotics,CAVERS: Multimodal SLAM Data from a Natural Karstic Cave with Ground Truth Motion Capture,6,2,2,7,3,skip,5+yr,"A large multimodal SLAM dataset captured inside a Spanish cave with millimeter-accurate motion-capture ground truth, benchmarked against 7 leading algorithms. Useful for researchers in underground/extreme-environment robotics, but the market for cave robotics is too small to move any public name.",[],"Well-executed dataset in a commercially irrelevant niche — technical specificity high, commercial mechanism absent.",v0.1-2026-04-18,claude-opus-4-7-as-proxy,2026-04-18T17:45:00
12,Robotics,HRDexDB: A Large-Scale Dataset of Dexterous Human and Robotic Hand Grasps,5,3,3,5,3.5,skip,2-5yr,"A multimodal dataset of human and robotic hand grasping trajectories across 100 objects, with synchronized video, tactile, and motion data, intended as a benchmark for dexterous manipulation policies. Feeds the humanoid robotics training pipeline, but as a commodity training resource — everyone uses it, nobody captures the pricing power. Closest public exposure is Tesla Optimus, whose signal is swamped by the car business.",[],"Classic commodity-enabler: useful dataset in a hot field, but open-source benchmarks don't create moats for any single investable name.",v0.1-2026-04-18,claude-opus-4-7-as-proxy,2026-04-18T17:45:00
